Produkttransaktioner;;;;;;;;;;;;;;;;
Ordernr;External Customer no.;Kundnamn;Fakt.nr;Fakturadatum;Redovisn. år/period;Produktnr;Er ref.;Benämning;Antal;Märke;Trans.upplysn. 1;Invoice Reference (R7);Order category;Belopp;ISO-kod;Belopp (SEK)
4447;2948;SGS Analytics Sweden AB;12003150;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4447;2948;SGS Analytics Sweden AB;12003150;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;1;;;;0;220.00;SEK;220.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0398;1;;;;0;0.00;SEK;0.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;1;;;;0;220.00;SEK;220.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0421;1;;;;0;0.00;SEK;0.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;2;;;;0;2380.00;SEK;2380.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;2;;;;0;440.00;SEK;440.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0434;1;;;;0;0.00;SEK;0.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;2;;;;0;2380.00;SEK;2380.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;2;;;;0;440.00;SEK;440.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0451;1;;;;0;0.00;SEK;0.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;4;;;;0;4760.00;SEK;4760.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;2;;;;0;440.00;SEK;440.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB03;Linda Hjärtström;Qualitative test - GM;8;;;;0;880.00;SEK;880.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0456;1;;;;0;0.00;SEK;0.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;4;;;;0;4760.00;SEK;4760.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;4;;;;0;880.00;SEK;880.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0480;1;;;;0;0.00;SEK;0.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;3;;;;0;660.00;SEK;660.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0496;1;;;;0;0.00;SEK;0.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4509;2948;SGS Analytics Sweden AB;12003167;5/29/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;1;;;;0;220.00;SEK;220.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;Fritext;Linda Hjärtström;SE-25-0521;1;;;;0;0.00;SEK;0.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;PP001;Linda Hjärtström;DNA-preparation - bulk 1;6;;;;0;7140.00;SEK;7140.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;QLB01;Linda Hjärtström;Qualitative test - AA;6;;;;0;1320.00;SEK;1320.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;Fritext;Linda Hjärtström;SE-25-0524;1;;;;0;0.00;SEK;0.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;QLB03;Linda Hjärtström;Qualitative test - GM;4;;;;0;440.00;SEK;440.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;Fritext;Linda Hjärtström;SE-25-0547;1;;;;0;0.00;SEK;0.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;QLB01;Linda Hjärtström;Qualitative test - AA;3;;;;0;330.00;SEK;330.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;Fritext;Linda Hjärtström;SE-25-0549;1;;;;0;0.00;SEK;0.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;QLB01;Linda Hjärtström;Qualitative test - AA;7;;;;0;770.00;SEK;770.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;Fritext;Linda Hjärtström;SE-25-0560;1;;;;0;0.00;SEK;0.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;QLB01;Linda Hjärtström;Qualitative test - AA;3;;;;0;330.00;SEK;330.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;Fritext;Linda Hjärtström;SE-25-0578;1;;;;0;0.00;SEK;0.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4549;2948;SGS Analytics Sweden AB;12003268;6/30/2025;2025/6;QLB01;Linda Hjärtström;Qualitative test - AA;3;;;;0;330.00;SEK;330.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;Fritext;Linda Hjärtström;SE-25-0624;1;;;;0;0.00;SEK;0.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;PP001;Linda Hjärtström;DNA-preparation - bulk 1;6;;;;0;7140.00;SEK;7140.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;QLB01;Linda Hjärtström;Qualitative test - AA;6;;;;0;1320.00;SEK;1320.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;Fritext;Linda Hjärtström;SE-25-0635;1;;;;0;0.00;SEK;0.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;QLB01;Linda Hjärtström;Qualitative test - AA;1;;;;0;220.00;SEK;220.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;Fritext;Linda Hjärtström;SE-25-0652;1;;;;0;0.00;SEK;0.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;PP001;Linda Hjärtström;DNA-preparation - bulk 1;4;;;;0;4760.00;SEK;4760.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;QLB01;Linda Hjärtström;Qualitative test - AA;4;;;;0;880.00;SEK;880.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;Fritext;Linda Hjärtström;SE-25-0658;1;;;;0;0.00;SEK;0.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;QLB01;Linda Hjärtström;Qualitative test - AA;1;;;;0;220.00;SEK;220.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;Fritext;Linda Hjärtström;SE-25-0707;1;;;;0;0.00;SEK;0.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;PP001;Linda Hjärtström;DNA-preparation - bulk 1;2;;;;0;2380.00;SEK;2380.00
4645;2948;SGS Analytics Sweden AB;12003365;7/29/2025;2025/7;QLB03;Linda Hjärtström;Qualitative test - GM;6;;;;0;660.00;SEK;660.00
4599;456;BASF SE;12003247;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0527;1;;;;0;0.00;EUR;0.00
4599;456;BASF SE;12003247;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;9;;;;0;63.00;EUR;687.14
4599;456;BASF SE;12003247;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;9;;;;0;927.00;EUR;10110.79
4599;456;BASF SE;12003247;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;45;;;;0;315.00;EUR;3435.71
4679;456;BASF SE;12003320;7/28/2025;2025/7;Fritext;Marilyne Sylvestre;SE-25-0645;1;;;;0;0.00;EUR;0.00
4679;456;BASF SE;12003320;7/28/2025;2025/7;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;15;;;;0;105.00;EUR;1166.76
4679;456;BASF SE;12003320;7/28/2025;2025/7;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;15;;;;0;1545.00;EUR;17168.04
4679;456;BASF SE;12003320;7/28/2025;2025/7;QLB07;Marilyne Sylvestre;Qualitative test - BY;75;;;;0;525.00;EUR;5833.80
4706;456;BASF SE;12003316;7/28/2025;2025/7;Fritext;Marie Robine & Marilyne Sylvestre;SE-25-0667;1;;;;0;0.00;EUR;0.00
4706;456;BASF SE;12003316;7/28/2025;2025/7;SPB06;Marie Robine & Marilyne Sylvestre;Subsampling seeds Bulk;12;;;;0;84.00;EUR;933.41
4706;456;BASF SE;12003316;7/28/2025;2025/7;PP001;Marie Robine & Marilyne Sylvestre;DNA-preparation - bulk 1;12;;;;0;1236.00;EUR;13734.43
4706;456;BASF SE;12003316;7/28/2025;2025/7;QLB07;Marie Robine & Marilyne Sylvestre;Qualitative test - BY;60;;;;0;420.00;EUR;4667.04
4707;456;BASF SE;12003316;7/28/2025;2025/7;Fritext;Marie Robine & Marilyne Sylvestre;SE-25-0678;1;;;;0;0.00;EUR;0.00
4707;456;BASF SE;12003316;7/28/2025;2025/7;SPB06;Marie Robine & Marilyne Sylvestre;Subsampling seeds Bulk;3;;;;0;21.00;EUR;233.35
4707;456;BASF SE;12003316;7/28/2025;2025/7;PP001;Marie Robine & Marilyne Sylvestre;DNA-preparation - bulk 1;3;;;;0;309.00;EUR;3433.61
4707;456;BASF SE;12003316;7/28/2025;2025/7;QLB07;Marie Robine & Marilyne Sylvestre;Qualitative test - BY;15;;;;0;105.00;EUR;1166.76
4708;456;BASF SE;12003316;7/28/2025;2025/7;Fritext;Marie Robine & Marilyne Sylvestre;SE-25-0712;1;;;;0;0.00;EUR;0.00
4708;456;BASF SE;12003316;7/28/2025;2025/7;SPB06;Marie Robine & Marilyne Sylvestre;Subsampling seeds Bulk;3;;;;0;21.00;EUR;233.35
4708;456;BASF SE;12003316;7/28/2025;2025/7;PP001;Marie Robine & Marilyne Sylvestre;DNA-preparation - bulk 1;3;;;;0;309.00;EUR;3433.61
4708;456;BASF SE;12003316;7/28/2025;2025/7;QLB07;Marie Robine & Marilyne Sylvestre;Qualitative test - BY;15;;;;0;105.00;EUR;1166.76
4708;456;BASF SE;12003316;7/28/2025;2025/7;XX050;Marie Robine & Marilyne Sylvestre;Accelerated turnaround time Express;3;;;;0;90.00;EUR;1000.08
4605;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0528;1;;;;0;0.00;EUR;0.00
4605;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;15;;;;0;105.00;EUR;1145.24
4605;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;15;;;;0;1545.00;EUR;16851.32
4605;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;75;;;;0;525.00;EUR;5726.18
4606;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0533;1;;;;0;0.00;EUR;0.00
4606;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;72;;;;0;504.00;EUR;5497.13
4606;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;72;;;;0;7416.00;EUR;80886.31
4606;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;360;;;;0;2520.00;EUR;27485.64
4607;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0539;1;;;;0;0.00;EUR;0.00
4607;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;18;;;;0;126.00;EUR;1374.28
4607;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;18;;;;0;1854.00;EUR;20221.58
4607;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;90;;;;0;630.00;EUR;6871.41
4608;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0544;1;;;;0;0.00;EUR;0.00
4608;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;10;;;;0;70.00;EUR;763.49
4608;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;10;;;;0;1030.00;EUR;11234.21
4608;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;50;;;;0;350.00;EUR;3817.45
4608;456;BASF SE;12003241;6/30/2025;2025/6;XX050;Marilyne Sylvestre;Accelerated turnaround time Express;10;;;;0;300.00;EUR;3272.10
4609;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0553;1;;;;0;0.00;EUR;0.00
4609;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;18;;;;0;126.00;EUR;1374.28
4609;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;18;;;;0;1854.00;EUR;20221.58
4609;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;90;;;;0;630.00;EUR;6871.41
4610;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0562;1;;;;0;0.00;EUR;0.00
4610;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;12;;;;0;84.00;EUR;916.19
4610;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;12;;;;0;1236.00;EUR;13481.05
4610;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;60;;;;0;420.00;EUR;4580.94
4611;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0579;1;;;;0;0.00;EUR;0.00
4611;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;81;;;;0;567.00;EUR;6184.27
4611;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;81;;;;0;8343.00;EUR;90997.10
4611;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;405;;;;0;2835.00;EUR;30921.35
4612;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0580;1;;;;0;0.00;EUR;0.00
4612;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;6;;;;0;42.00;EUR;458.09
4612;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;6;;;;0;618.00;EUR;6740.53
4612;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;15;;;;0;105.00;EUR;1145.24
4613;510;BASF SE;12003242;6/30/2025;2025/6;Fritext;Matthias Pfenning, Cecile Leheurteux;SE-25-0582;1;;;;0;0.00;EUR;0.00
4613;510;BASF SE;12003242;6/30/2025;2025/6;SPB07;Matthias Pfenning, Cecile Leheurteux;Sampling seeds plate;7;;;;0;49.00;EUR;534.44
4613;510;BASF SE;12003242;6/30/2025;2025/6;PP006;Matthias Pfenning, Cecile Leheurteux;DNA-preparation - 96w plate;7;;;;0;910.00;EUR;9925.37
4613;510;BASF SE;12003242;6/30/2025;2025/6;QTS02;Matthias Pfenning, Cecile Leheurteux;Zygosity test - KASP chemistry;14;;;;0;280.00;EUR;3053.96
4614;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0583;1;;;;0;0.00;EUR;0.00
4614;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;6;;;;0;42.00;EUR;458.09
4614;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;6;;;;0;618.00;EUR;6740.53
4614;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;30;;;;0;210.00;EUR;2290.47
4615;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0598;1;;;;0;0.00;EUR;0.00
4615;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;18;;;;0;126.00;EUR;1374.28
4615;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;18;;;;0;1854.00;EUR;20221.58
4615;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;90;;;;0;630.00;EUR;6871.41
4616;456;BASF SE;12003241;6/30/2025;2025/6;Fritext;Marilyne Sylvestre;SE-25-0626;1;;;;0;0.00;EUR;0.00
4616;456;BASF SE;12003241;6/30/2025;2025/6;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;6;;;;0;42.00;EUR;458.09
4616;456;BASF SE;12003241;6/30/2025;2025/6;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;6;;;;0;618.00;EUR;6740.53
4616;456;BASF SE;12003241;6/30/2025;2025/6;QLB07;Marilyne Sylvestre;Qualitative test - BY;30;;;;0;210.00;EUR;2290.47
4522;456;BASF SE;12003183;5/30/2025;2025/5;Fritext;Marilyne Sylvestre;SE-25-0498;1;;;;0;0.00;EUR;0.00
4522;456;BASF SE;12003183;5/30/2025;2025/5;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;27;;;;0;189.00;EUR;2067.66
4522;456;BASF SE;12003183;5/30/2025;2025/5;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;27;;;;0;2781.00;EUR;30424.14
4522;456;BASF SE;12003183;5/30/2025;2025/5;QLB07;Marilyne Sylvestre;Qualitative test - BY;135;;;;0;945.00;EUR;10338.30
4459;456;BASF SE;12003149;5/20/2025;2025/5;Fritext;Marilyne Sylvestre;SE-25-0338;1;;;;0;0.00;EUR;0.00
4459;456;BASF SE;12003149;5/20/2025;2025/5;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;6;;;;0;42.00;EUR;453.68
4459;456;BASF SE;12003149;5/20/2025;2025/5;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;6;;;;0;618.00;EUR;6675.64
4459;456;BASF SE;12003149;5/20/2025;2025/5;QLB07;Marilyne Sylvestre;Qualitative test - BY;30;;;;0;210.00;EUR;2268.42
4460;510;BASF SE;12003148;5/20/2025;2025/5;Fritext;Matthias Pfenning;SE-25-0353;1;;;;0;0.00;EUR;0.00
4460;510;BASF SE;12003148;5/20/2025;2025/5;PP001;Matthias Pfenning;DNA-preparation - bulk 1;1;;;;0;103.00;EUR;1112.61
4460;510;BASF SE;12003148;5/20/2025;2025/5;QLB07;Matthias Pfenning;Qualitative test - BY;5;;;;0;35.00;EUR;378.07
4460;510;BASF SE;12003148;5/20/2025;2025/5;XX050;Matthias Pfenning;Accelerated turnaround time Express;1;;;;0;69.00;EUR;745.34
4461;456;BASF SE;12003147;5/20/2025;2025/5;Fritext;Marilyne Sylvestre;SE-25-0318;1;;;;0;0.00;EUR;0.00
4461;456;BASF SE;12003147;5/20/2025;2025/5;SPB06;Marilyne Sylvestre;Subsampling seeds Bulk;39;;;;0;273.00;EUR;2948.95
4461;456;BASF SE;12003147;5/20/2025;2025/5;PP001;Marilyne Sylvestre;DNA-preparation - bulk 1;39;;;;0;4017.00;EUR;43391.63
4461;456;BASF SE;12003147;5/20/2025;2025/5;QLB07;Marilyne Sylvestre;Qualitative test - BY;195;;;;0;1365.00;EUR;14744.73
4784;456;BASF SE;12003407;7/31/2025;2025/7;Fritext;Marie Robine & Marilyne Sylvestre;SE-25-0742;1;;;;0;0.00;EUR;0.00
4784;456;BASF SE;12003407;7/31/2025;2025/7;SPB06;Marie Robine & Marilyne Sylvestre;Subsampling seeds Bulk;6;;;;0;42.00;EUR;466.70
4784;456;BASF SE;12003407;7/31/2025;2025/7;PP001;Marie Robine & Marilyne Sylvestre;DNA-preparation - bulk 1;6;;;;0;618.00;EUR;6867.22
4784;456;BASF SE;12003407;7/31/2025;2025/7;QLB07;Marie Robine & Marilyne Sylvestre;Qualitative test - BY;30;;;;0;210.00;EUR;2333.52
4784;456;BASF SE;12003407;7/31/2025;2025/7;XX050;Marie Robine & Marilyne Sylvestre;Accelerated turnaround time Express;6;;;;0;180.00;EUR;2000.16
4785;456;BASF SE;12003407;7/31/2025;2025/7;Fritext;Marie Robine & Marilyne Sylvestre;SE-25-0749;1;;;;0;0.00;EUR;0.00
